model,tier,sys_a,sys_b,mean_a,mean_b,diff,n,wilcoxon,p,p_bonf,cliff_delta
llama-3.1-8b,200,graph,sql-fts,0.09774436090225563,0.7218045112781954,-0.6240601503759398,266,1207.5,4.2748322219777673e-38,4.2748322219777674e-37,-0.7267793544010402
llama-3.1-8b,200,graph,sql-t2s,0.09774436090225563,0.11466165413533834,-0.016917293233082706,266,4627.5,0.5981203279650256,1.0,-0.01050087625077732
llama-3.1-8b,200,graph-cypher,llm-only,0.08646616541353383,0.6203007518796992,-0.5338345864661654,266,1481.0,6.73988000677259e-35,6.73988000677259e-34,-0.6760698739329527
llama-3.1-8b,200,graph-cypher,sql-fts,0.08646616541353383,0.7218045112781954,-0.6353383458646616,266,1561.0,2.2614729617300527e-37,2.2614729617300525e-36,-0.7355135960201254
llama-3.1-8b,200,graph-cypher,sql-t2s,0.08646616541353383,0.11466165413533834,-0.02819548872180451,266,3454.0,0.1719467912803162,1.0,-0.03102210413251173
llama-3.1-8b,200,llm-only,sql-fts,0.6203007518796992,0.7218045112781954,-0.10150375939849621,266,7510.5,0.0001072859181683179,0.0010728591816831791,-0.14865170444909265
llama-3.1-8b,200,llm-only,sql-t2s,0.6203007518796992,0.11466165413533834,0.5056390977443609,266,1947.0,1.0121539879936773e-32,1.0121539879936774e-31,0.6389988128215275
llama-3.1-8b,200,sql-fts,sql-t2s,0.7218045112781954,0.11466165413533834,0.6071428571428571,266,1699.0,4.6404745637313326e-36,4.6404745637313326e-35,0.7020040703261914
llama-3.1-8b,2000,graph,graph-cypher,0.2235294117647059,0.20392156862745098,0.019607843137254916,255,7112.0,0.22568349150603562,1.0,0.03507881584006151
llama-3.1-8b,2000,graph,llm-only,0.2235294117647059,0.615686274509804,-0.3921568627450981,255,4033.5,1.6062471832265616e-21,1.6062471832265614e-20,-0.4955786236063053
llama-3.1-8b,2000,graph,sql-fts,0.2235294117647059,0.6941176470588235,-0.47058823529411764,255,3249.0,9.722022266210398e-26,9.722022266210397e-25,-0.5773471741637831
llama-3.1-8b,2000,graph,sql-t2s,0.2235294117647059,0.21568627450980393,0.00784313725490196,255,9227.5,0.871403924461975,1.0,0.017500961168781238
llama-3.1-8b,2000,graph-cypher,llm-only,0.20392156862745098,0.615686274509804,-0.411764705882353,255,3926.5,1.668197318260805e-22,1.668197318260805e-21,-0.5160476739715494
llama-3.1-8b,2000,graph-cypher,sql-fts,0.20392156862745098,0.6941176470588235,-0.49019607843137253,255,2923.5,9.97951038467498e-28,9.97951038467498e-27,-0.5936639753940792
llama-3.1-8b,2000,graph-cypher,sql-t2s,0.20392156862745098,0.21568627450980393,-0.011764705882352955,255,6699.0,0.6887069942264693,1.0,-0.017331795463283353
llama-3.1-8b,2000,llm-only,sql-fts,0.615686274509804,0.6941176470588235,-0.07843137254901955,255,7410.5,0.012640936748381999,0.12640936748381998,-0.10637447135717032
llama-3.1-8b,2000,llm-only,sql-t2s,0.615686274509804,0.21568627450980393,0.4,255,3024.5,7.142273031507611e-24,7.142273031507611e-23,0.502314494425221
llama-3.1-8b,2000,sql-fts,sql-t2s,0.6941176470588235,0.21568627450980393,0.4784313725490196,255,2720.0,1.6850479402756806e-27,1.6850479402756806e-26,0.581437908496732
llama-3.1-8b,20000,graph,graph-cypher,0.15,0.0875,0.0625,160,1445.0,0.008924576779148112,0.08924576779148112,0.09734375
llama-3.1-8b,20000,graph,llm-only,0.15,0.55625,-0.40625,160,1063.0,7.796598466267841e-17,7.796598466267842e-16,-0.553984375
llama-3.1-8b,20000,graph,sql-fts,0.15,0.615625,-0.46562499999999996,160,921.0,1.0725007590349872e-18,1.0725007590349872e-17,-0.6018359375
llama-3.1-8b,20000,graph,sql-t2s,0.15,0.1375,0.012499999999999983,160,2304.0,0.37898408001722317,1.0,0.03609375
llama-3.1-8b,20000,graph-cypher,llm-only,0.0875,0.55625,-0.46875,160,652.5,1.9257133939200194e-20,1.9257133939200193e-19,-0.637265625
