model,tier,system,qid,type,judge,fuzzy,latency_ms,cost_usd,turns,gt_suspect,over_answered
claude-haiku-4-5,200,sql-fts,SL-148,simple-lookup,0.0,0.0,3617,0.01138005,1.0,False,False
claude-haiku-4-5,200,sql-t2s,SL-148,simple-lookup,0.0,0.5,10272,0.0223243,2.0,False,False
claude-haiku-4-5,200,llm-only,SL-148,simple-lookup,0.0,0.0,3502,0.015092550000000001,1.0,False,False
claude-haiku-4-5,200,graph,RSN-37,reasoning,1.0,0.5,12651,0.02571775,2.0,False,False
claude-haiku-4-5,200,sql-fts,RSN-37,reasoning,1.0,0.35714285714285715,11646,0.11225254999999998,1.0,False,False
claude-haiku-4-5,200,sql-t2s,RSN-37,reasoning,1.0,0.35714285714285715,18149,0.028332,2.0,False,False
claude-haiku-4-5,200,llm-only,RSN-37,reasoning,1.0,0.35714285714285715,8245,0.0288838,1.0,False,False
claude-haiku-4-5,200,graph,MH-85,multi-hop,1.0,1.0,36772,0.0888662,11.0,False,False
claude-haiku-4-5,200,sql-fts,MH-85,multi-hop,0.0,0.5,5080,0.01499005,1.0,False,False
claude-haiku-4-5,200,sql-t2s,MH-85,multi-hop,1.0,1.0,21439,0.052308600000000004,6.0,False,False
claude-haiku-4-5,200,llm-only,MH-85,multi-hop,1.0,1.0,6177,0.021522549999999998,1.0,False,False
claude-haiku-4-5,200,graph,COH-17,cohort,1.0,1.0,12398,0.027130599999999998,3.0,False,False
claude-haiku-4-5,200,sql-fts,COH-17,cohort,0.0,0.0,6366,0.0163563,1.0,False,False
claude-haiku-4-5,200,sql-t2s,COH-17,cohort,1.0,1.0,24900,0.0503122,5.0,False,False
claude-haiku-4-5,200,llm-only,COH-17,cohort,0.0,1.0,11509,0.0321613,1.0,False,False
claude-haiku-4-5,200,graph,UNA-16,unanswerable,1.0,1.0,20538,0.0457075,6.0,False,False
claude-haiku-4-5,200,sql-fts,UNA-16,unanswerable,1.0,1.0,6037,0.0113438,1.0,False,False
claude-haiku-4-5,200,sql-t2s,UNA-16,unanswerable,0.5,1.0,21314,0.03246225,3.0,False,False
claude-haiku-4-5,200,llm-only,UNA-16,unanswerable,1.0,0.0,5010,0.01367255,1.0,False,False
claude-haiku-4-5,200,graph,TMP-18,temporal,0.0,0.15384615384615385,9647,0.02760255,3.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-18,temporal,0.0,0.15384615384615385,4034,0.01580255,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-18,temporal,0.0,0.07692307692307693,14787,0.030269550000000003,3.0,False,False
claude-haiku-4-5,200,llm-only,TMP-18,temporal,0.5,0.46153846153846156,11327,0.027753800000000002,1.0,False,False
claude-haiku-4-5,200,graph,SL-10,simple-lookup,1.0,1.0,9117,0.0454943,3.0,False,False
claude-haiku-4-5,200,sql-fts,SL-10,simple-lookup,1.0,1.0,5534,0.0310963,1.0,False,False
