cutoff,model,tier,sys_a,sys_b,n_questions,a_only_right,b_only_right,both_right,both_wrong,diff_pct,statistic,p,p_bonf
lenient,claude-haiku-4-5,2000,graph-cypher,sql-t2s,267,10,11,235,11,-0.0037453183520599342,10.0,1.0,1.0
lenient,claude-haiku-4-5,2000,llm-only,sql-fts,267,41,9,160,57,0.11985018726591756,19.22,1.1648657367199599e-05,0.00011648657367199598
lenient,claude-haiku-4-5,2000,llm-only,sql-t2s,267,8,53,193,13,-0.1685393258426967,31.737704918032787,1.764628453156782e-08,1.764628453156782e-07
lenient,claude-haiku-4-5,2000,sql-fts,sql-t2s,267,6,83,163,15,-0.28838951310861427,64.89887640449439,7.884201918770623e-16,7.884201918770623e-15
lenient,claude-haiku-4-5,20000,graph,graph-cypher,143,0,17,123,3,-0.11888111888111896,0.0,1.52587890625e-05,0.000152587890625
lenient,claude-haiku-4-5,20000,graph,llm-only,143,30,10,93,10,0.1398601398601398,9.025,0.002663119259138557,0.026631192591385567
lenient,claude-haiku-4-5,20000,graph,sql-fts,143,37,9,86,11,0.19580419580419572,15.847826086956522,6.86453507683645e-05,0.000686453507683645
lenient,claude-haiku-4-5,20000,graph,sql-t2s,143,2,15,121,5,-0.09090909090909094,2.0,0.002349853515625,0.02349853515625
lenient,claude-haiku-4-5,20000,graph-cypher,llm-only,143,37,0,103,3,0.25874125874125875,35.027027027027025,3.2516061726496975e-09,3.251606172649698e-08
lenient,claude-haiku-4-5,20000,graph-cypher,sql-fts,143,45,0,95,3,0.3146853146853147,43.022222222222226,5.4121612887325984e-11,5.412161288732598e-10
lenient,claude-haiku-4-5,20000,graph-cypher,sql-t2s,143,4,0,136,3,0.027972027972028024,0.0,0.125,1.0
lenient,claude-haiku-4-5,20000,llm-only,sql-fts,143,15,7,88,33,0.05594405594405594,7.0,0.13380050659179688,1.0
lenient,claude-haiku-4-5,20000,llm-only,sql-t2s,143,1,34,102,6,-0.23076923076923073,29.257142857142856,6.338214846064508e-08,6.338214846064508e-07
lenient,claude-haiku-4-5,20000,sql-fts,sql-t2s,143,2,43,93,5,-0.28671328671328666,35.55555555555556,2.4787907970167096e-09,2.4787907970167096e-08
lenient,llama-3.1-8b,200,graph,graph-cypher,266,24,18,11,213,0.022556390977443608,0.5952380952380952,0.4404006981390033,1.0
lenient,llama-3.1-8b,200,graph,llm-only,266,5,179,30,52,-0.6541353383458647,162.6576086956522,2.9718150257927805e-37,2.9718150257927804e-36
lenient,llama-3.1-8b,200,graph,sql-fts,266,8,194,27,37,-0.6992481203007519,169.43069306930693,9.85167309506685e-39,9.85167309506685e-38
lenient,llama-3.1-8b,200,graph,sql-t2s,266,19,21,16,210,-0.007518796992481203,0.025,0.8743670611628918,1.0
lenient,llama-3.1-8b,200,graph-cypher,llm-only,266,8,188,21,49,-0.6766917293233082,163.47448979591837,1.9704410376085278e-37,1.970441037608528e-36
lenient,llama-3.1-8b,200,graph-cypher,sql-fts,266,10,202,19,35,-0.7218045112781954,172.08018867924528,2.5992514536659723e-39,2.599251453665972e-38
lenient,llama-3.1-8b,200,graph-cypher,sql-t2s,266,12,20,17,217,-0.03007518796992481,1.53125,0.21592493894013678,1.0
lenient,llama-3.1-8b,200,llm-only,sql-fts,266,20,32,189,25,-0.045112781954887216,2.326923076923077,0.1271529926000141,1.0
lenient,llama-3.1-8b,200,llm-only,sql-t2s,266,182,10,27,47,0.6466165413533834,152.296875,5.456850855481015e-35,5.4568508554810155e-34
lenient,llama-3.1-8b,200,sql-fts,sql-t2s,266,194,10,27,35,0.6917293233082706,164.16176470588235,1.3945156094962805e-37,1.3945156094962805e-36
lenient,llama-3.1-8b,2000,graph,graph-cypher,255,40,29,33,153,0.04313725490196077,1.4492753623188406,0.2286442623410733,1.0
lenient,llama-3.1-8b,2000,graph,llm-only,255,18,143,55,39,-0.4901960784313726,95.5031055900621,1.4765947006905272e-22,1.4765947006905272e-21
lenient,llama-3.1-8b,2000,graph,sql-fts,255,16,158,57,24,-0.5568627450980392,114.25862068965517,1.1437474557643822e-26,1.1437474557643821e-25
lenient,llama-3.1-8b,2000,graph,sql-t2s,255,40,34,33,148,0.023529411764705854,0.33783783783783783,0.5610799295856819,1.0
lenient,llama-3.1-8b,2000,graph-cypher,llm-only,255,21,157,41,36,-0.5333333333333333,102.38764044943821,4.565411126653593e-24,4.565411126653593e-23
lenient,llama-3.1-8b,2000,graph-cypher,sql-fts,255,17,170,45,23,-0.6,123.55080213903743,1.0564642521523372e-28,1.0564642521523372e-27
lenient,llama-3.1-8b,2000,graph-cypher,sql-t2s,255,25,30,37,163,-0.019607843137254916,0.2909090909090909,0.5896385516265671,1.0
lenient,llama-3.1-8b,2000,llm-only,sql-fts,255,14,31,184,26,-0.06666666666666665,5.688888888888889,0.017072661093788386,0.17072661093788385
lenient,llama-3.1-8b,2000,llm-only,sql-t2s,255,147,16,51,41,0.5137254901960784,103.68098159509202,2.3766167938278256e-24,2.3766167938278256e-23
lenient,llama-3.1-8b,2000,sql-fts,sql-t2s,255,161,13,54,27,0.580392156862745,124.1896551724138,7.656443812547984e-29,7.656443812547984e-28
lenient,llama-3.1-8b,20000,graph,graph-cypher,160,26,10,9,115,0.1,6.25,0.012419330651552277,0.12419330651552277
lenient,llama-3.1-8b,20000,graph,llm-only,160,8,94,27,31,-0.5375,70.83333333333333,3.887136393859371e-17,3.8871363938593706e-16
lenient,llama-3.1-8b,20000,graph,sql-fts,160,7,98,28,27,-0.56875,77.14285714285714,1.5902873970263575e-18,1.5902873970263576e-17
lenient,llama-3.1-8b,20000,graph,sql-t2s,160,20,13,15,112,0.04375000000000001,1.0909090909090908,0.29626987148428335,1.0
lenient,llama-3.1-8b,20000,graph-cypher,llm-only,160,5,107,14,34,-0.6375,91.08035714285714,1.3795437634526624e-21,1.3795437634526623e-20
lenient,llama-3.1-8b,20000,graph-cypher,sql-fts,160,3,110,16,31,-0.66875,99.43362831858407,2.0284878630556686e-23,2.0284878630556685e-22
lenient,llama-3.1-8b,20000,graph-cypher,sql-t2s,160,13,22,6,119,-0.056249999999999994,1.8285714285714285,0.17629637444050728,1.0
lenient,llama-3.1-8b,20000,llm-only,sql-fts,160,15,20,106,19,-0.03125,0.45714285714285713,0.49896229860376107,1.0
lenient,llama-3.1-8b,20000,llm-only,sql-t2s,160,99,6,22,33,0.58125,80.60952380952381,2.750307430616888e-19,2.750307430616888e-18
lenient,llama-3.1-8b,20000,sql-fts,sql-t2s,160,102,4,24,30,0.6125,88.76415094339623,4.448041287042495e-21,4.4480412870424946e-20
lenient,qwen-2.5-72b,200,graph,graph-cypher,214,30,38,109,37,-0.03738317757009346,0.7205882352941176,0.3959510250893423,1.0
lenient,qwen-2.5-72b,200,graph,llm-only,214,27,42,112,33,-0.07009345794392519,2.8405797101449277,0.09191104899535937,0.9191104899535938
lenient,qwen-2.5-72b,200,graph,sql-fts,214,34,41,105,34,-0.032710280373831724,0.48,0.4884223166225936,1.0
lenient,qwen-2.5-72b,200,graph,sql-t2s,214,14,53,125,22,-0.18224299065420557,21.55223880597015,3.443205011169124e-06,3.4432050111691243e-05
lenient,qwen-2.5-72b,200,graph-cypher,llm-only,214,36,43,111,24,-0.032710280373831724,0.45569620253164556,0.49964225765235615,1.0
lenient,qwen-2.5-72b,200,graph-cypher,sql-fts,214,43,42,104,25,0.004672897196261738,0.0,1.0,1.0
